學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,995,561,434,90,85,87,77,84,74,89,53,70,48,61,55,80,42,0,0,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,4023,1861,2162,644,745,593,702,372,451,252,264,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,9585,3912,5673,896,1289,906,1309,883,1319,882,1333,0,0,0,0,0,0,345,423,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,1787,929,858,298,273,266,233,185,190,110,96,70,66,0,0,0,0,0,0,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,1656,1211,445,241,85,206,90,179,64,163,60,140,43,122,44,160,59,0,0,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,5190,3221,1969,1299,754,1231,659,475,321,209,211,3,14,4,10,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,8500,4658,3842,1105,925,1093,843,1075,945,1123,975,0,0,0,0,0,0,262,154,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,39,25,14,3,2,20,12,0,0,0,0,0,0,0,0,0,0,2,0,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,1293,479,814,191,269,170,217,35,114,26,92,23,43,9,29,25,50,0,0,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,3433,2405,1028,467,185,361,179,347,163,355,132,292,130,240,105,343,134,0,0,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,10335,6241,4094,2483,1615,2302,1457,970,622,486,400,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,16614,9431,7183,2105,1592,2165,1592,2083,1653,2037,1608,167,111,145,71,1,4,728,552,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,1562,949,613,328,236,331,235,165,92,62,22,35,18,28,10,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,P 進,B 學士,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,1353,662,691,108,117,97,104,121,114,93,106,91,104,73,65,79,81,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,4196,1794,2402,657,807,558,724,345,514,234,357,0,0,0,0,0,0,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,8104,3603,4501,875,1084,830,1072,811,1057,820,1023,0,0,0,0,0,0,267,265,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,2063,599,1464,192,457,178,440,99,267,67,142,33,90,30,68,0,0,0,0,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,1829,1261,568,264,138,215,92,202,88,162,82,158,67,123,50,137,51,0,0,21 臺南市,1 一般
